id,name,city,state,website,visito_info,logitude,latitude,description
1,Taj Mahal,Agra,Uttar Pradesh,http://www.tajmahaltourism.com/,"Timings: Every Day, (except Friday), Sunrise to SunsetNight, 8:30 PM to 12:30 AM (On Full moon night, two days before and two days after)Day Fee: Rs 750 (Foreigners)Rs 510 (Citizens of SAARC and BIMSTEC Countries)Rs 20 (Indian)Entry Free for children below 15 years of ageNight Fee: Rs 750 (Adult, Foreign)Rs 510 (Adult, Indian)Rs 500 (Child 3-15 Years, Indian & Foreign)",27.175009,78.0420906,"The India Travel Destinations takes you on travel to the most romantic city Agra in Uttar Pradesh, India. Agra is the most important center of tourism in Uttar Pradesh, India and is famous all over the world for the lovely Taj Mahal, a memorial that was constructed by the Mughal Emperor Shah Jahan. Agra city is the one of the famous destinations of the World Tourism with three tradition monuments -The Taj Mahal, Fatehpur Sikri & Red Fort. Agra is an energetic centre of Culture, Art and Religious philosophies that have enriched mankind and shaped human thought over centuries. Agra is famous for handicrafts products such as engrave work on Marvel, Leather work, Footwear, Brasswear, Carpets, Jewelry, Zari and Embroidery work.We provide information on tourist destinations in Agra Travel including the beautiful Taj Mahal. Agra tour is one of the most popular travel places amongst tourists. Taj Mahal is one of the Seven Wonders of the World built by Emperor Shahjahan. Taj Mahal is also a symbol of enduring love, built by Shahjahan to house the grave of his beloved wife, Queen Mumtaz Mahal, who died following the birth of their 14th child.Taj Mahal, a dream fearful in milky white perfect marble is the superior monument showing the beauty of everlasting love. Taj Mahal is certainly India's rich tribute to womanhood. This brilliant marble structure took over 21 years to make and is the best jewel of art and architecture of the Mughal age. Famous for its artistic beauty, this spendthrift building of timeless beauty is the outcome of a fashionable combination of passion and architectural enthusiasm. Taj Mahal of Agra stands on the bank of River Yamuna. The Taj Mahal is one of the most gorgeous masterpieces of design in the world. Agra placed about 200 km south of New Delhi.Taj Mahal is the tomb of the Mughal Empress Mumtaz Mahal. After 22 years, and the mutual effort of over 20,000 labors and master craftsmen, the tomb was finally completed in 1648 AD on the banks on the river Yamuna in Agra, the 17th century capital of the Mughal monarchs. The colors of the Taj Mahal change at different hours of the day and during different seasons. The Taj Mahal of Agra is pinkish in the morning, milky white in the evening and golden when the moon shines. Like a jewel, the Taj Mahal sparkles in moonlight when the semi-precious stones inlaid into the white marble on the main tomb catch the shine of the moon. These changes, they say, represents the different moods of woman. The source of the name ""Taj Mahal"" is not understandable. Court histories from Shah Jahan reign only call it the tomb of Mumtaz Mahal. It is generally believed that ""Taj Mahal"" is shortened version of her name, Mumtaz Mahal."
2,Gateway Of India,Mumbai,Maharashtra,http://www.myvisitinghours.org/gateway-of-india-39,"People can visit the monument at any time of the day. The best time to visit the Gateway of India is during the period of November to March, as the post-monsoon climate is very pleasant and there are very less chances for downpours at this time.",18.92186,72.83449,"Mumbai's most famous monument, this is the starting point for most tourists who want to explore the city. It was built as a triumphal arch to commemorate the visit of King George V and Queen Mary, complete with four turrets and intricate latticework carved into the yellow basalt stone. Ironically, when the Raj ended in 1947, this colonial symbol also became a sort of epitaph: the last of the British ships that set sail for England left from the Gateway. Today this symbol of colonialism has got Indianised, drawing droves of local tourists and citizens. Behind the arch, there are steps leading down to the water. Here, you can get onto one of the bobbing little motor launches, for a short cruise through Mumbai's splendid natural harbor. Structure he foundation stone of the Gateway of India was laid down by the then Governor of Bombay (Mumbai) on March 31st 1913. The total cost of building the arch was around 21 Lakhs. The Gateway of India is 26 meters high and is coupled with four turrets. There are beautiful and complex latticework carved on stones. The mark of Gujarati architecture can also be seen on the monument. It is said that this awesome structure is a blend of the Arc de Triomphe in Paris and a Moorish palace. "
3,Buland Darwaja,Agra,Uttar Pradesh,http://www.bharatonline.com/uttar-pradesh/travel/fatehpur-sikri/buland-darwaza.html,"Anytime round the year, 8:00 AM to 7:00 PM",27.09441,77.662886,"Buland Darwaza is a 15-storied high gateway that guards the Northeastern entrance of the city of Fatehpur Sikri. Historians have come to a consensus that this building was constructed in the year 1575. It was commissioned by Emperor Akbar to commemorate his victory over Khandesh and Ahmednagar in Gujarat and Deccan respectively. The intimidating structure stands 43 meters or 140 feet on the pedestal and a cool 54 feet above the ground. The gateway is approached by a steep flight of 42 steps, which add height and majesty to the entire structure. Buland Darwaza that is counted as one of the tallest gateways in the world is almost entirely made out of the red-sandstone with a generous dose of marble decoration on it. The blend of Hindu and Persian architecture is very evident by the use of Quranic inscription on the front and pillar and Cenotaph on the heights of the gateway. The calligraphy work done on the inner façade of Buland Darwaza has very less parallels in India. Buland Darwaza has a very famous inscription written on it. This inscription is actually a quote attributed to Jesus Christ, who is revered equally by both Christians as well as Muslims. It says, ""The World is but a bridge, pass over but build no houses on it."" that is almost ironical for a city that was abandoned in less than 15 years from the day it was constructed. "
4,Char Minar,Hyderabad,Andhra Pradesh,http://www.bharatonline.com/andhra-pradesh/travel/hyderabad/charminar.html,people are allowed (only in the cellar of the monument) all the day and during night times till 10'o clock. ,17.361564,78.474664,"The Charminar is as much the signature of Hyderabad as the Taj Mahal is of Agra or the Eiffel Tower is of Paris. Charminar stands in the heart of the old city. Built in 1591 to mark the end of an epidemic of plague it is a magnificent edifice. It is believed to have been built as a charm to ward off a deadly epidemic raging at that time. Built in the Qutb Shahi style of architecture that is unique to Hyderabad it has delicate stucco ornamentation tall ""guldasta"" style minarets and a mosque on its fourth & topmost floor. Four graceful minarets soar to a height of 48.7m. Charminar has 45 prayer spaces and a mosque in it. Charminar is a magnificent square edifice of granite, built upon four grand arches facing North, South, East and West. These arches support two floors of rooms and gallery of archways. At each corner of the square structure is a minaret rising to a height of 24 meters, making the building nearly 54 meters tall. It is these four (char) minarets (minar) that give the building, its name Charminar. Each minar stands on a lotus-leaf base, a special recurrent motif in Qutub Shahi buildings. The first floor was used as a madarasa (college) during the Qutub Shahi period. The second floor has a mosque on the western side, the dome of which is visible from the road, if one stands some distance away. A spectacular view of the city may be had from the roof of the Charminar, although, due to severe overcrowding of the minarets, only visitors with special permission from the Archaeological Survey of India, Hyderabad Circle are allowed to go to the top of the minarets. The clocks above each of the four archways were added in 1889. Walking around the Charminar area, one is continually surprised by vestiges of the past intermingling with the present. Towards the Southeast of the Charminar is located imposing edifice of the Nizamia Unani Hospital. About 50m to the West, the line of shops in Lad Bazaar is interupted by an old, crumbling brown wall, which marks the entry to the old Nizama?s Jilau Khana (parade ground). The grounds are now being used for the development of a large commercial complex. Further down, a road to the left leads to the Khilawat Complex (Chowmahalla Palace). The Lad Bazaar road terminates in a square called Mahaboob Chowk where a large 19th century clock-tower looms over a delicate white mosque of the same period. "
5,Gol Gumbad,Bijapur,Karnataka,,Opening Hours : 10.00 am to 5.00 pmClosed on – FridayEntrance Fee : Rs. 2/- per head(Children up to 15 years free),16.830136,75.735068,"Gol Gumbaz is the mausoleum of Muhammad Adil Shah (1627 -56), the seventh ruler of the Adil Shahi dynasty. A fine specimen of Adil Shahi architecture, this mammoth tomb is a dominant landmark of Bijapur. The construction of the Gol Gumbaz was completed in 1659, after 20 years of meticulous craftsmanship.The chief attraction of the mausoleum is its central dome, which is second in size only to the dome of St Peter's Basilica in Rome and stands unsupported by any pillars. Another astonishing facet of the Golgumbaz is its whispering gallery, which is an acoustic marvel. The gallery has been designed in such a way that the tick of a watch or the rustle of paper can be heard across a distance of 37m and the faintest sound is echoed eleven times over.The tombs of Sultan Adil Shah, his two wives, his mistress Ramba, his daughter and grandson are located under the central dome. The octagonal turrets which project at an angle and the huge bracketed cornic below the parapet, are important features of this monument. From the gallery around the dome, which can be reached by climbing up the turret passages, one can have a fabulous view of the town."
6,Statue Of Gomateswara,Hassan District,Karnataka,,"Anytime round the year, 8:00 AM to 7:00 PM",12.854042,76.484558,"One of the holiest Jain pilgrimages, Shravanabelagola is synonymous with the colossal monolithic statue of Jain saint Lord Gomateshwara. Shravanabelagola occupies a significant place in the Jain legacy of Karnataka, for being the place where Chandragupta, the founder of the Mauryan dynasty, became a Jain ascetic after relinquishing his throne. The place where Chandragupta breathed his last was named Chandragiri.The gigantic statue of Lord Gomateshwara has been the piece de resistance among a multitude of Jain architectures in Sravanabelagola. The statue, created around 983 AD by Chamundaraya, a general and minister of the Ganga King Rachamatta, stands atop the Indragiri hill and at a height of 18 meters, is regarded the tallest monolithic statue in the world.During the auspicious event of Mahamastakabhisheka, held in Sravanbelagola once in 12 years, attracts a huge number of devout worshippers from all over the world. As part of the ceremonies that last for about 20 days, the image of Bahubali or Gomateshwara is anointed with 1008 kalashas (painted earthen pots) of water, milk, coconut water, clarified butter, saffron, jaggery, bananas, sandal paste and marigold flowers."
7,Hampi,Hampi,Karnataka,,Anytime round the year,15.333333,76.466667,"Once the majestic capital of the powerful Vijayanagara Empire, Hampi is now a ruined city of ancient palaces and forts. Founded by Harihara and Bukka in 1336, the landscape of Hampi was dotted with magnificent palaces, sacred temples, massive fortifications, baths, markets, pavilions, and stables for royal elephants. The Vijayanagara kings were great patrons of art and Hampi became the epicenter of a flourishing indigenous culture.All of these were gradually reduced to rubble as the Empire fell to the Muslim invaders of North India in 1565 after the disastrous Battle of Talikota. The victors mercilessly pillaged this capital city and the ruins were left to tell the tale of the bygone era. Now declared a World Heritage Site by UNESCO, tourists and enthusiastic backpackers travel to Hampi in large numbers.The sprawling city was planned in such a way that the important structures are located in two areas, referred to as the Royal Centre and the Sacred Centre. The Royal Centre contains remnants of opulent palaces, baths, pavilions, royal stables, while the Sacred Centre locates holy temples. The Sacred Centre is situated on the northern edge of the city along the banks of the holy Tungabhadra River."
8,Humayun Tomb,Delhi,Delhi,,Opening Hours : 10.00 am to 5.00 pmClosed on – FridayEntrance Fee : Rs. 2/- per head(Children up to 15 years free)10 per person for Indians 250 per person for foreign tourists timingsAll days of the week6:00 AM - 5:30 PM,28.5927639,77.2498549,"Humayun's Tomb, the mausoleum of Mughal emperor Humayun, is situated on the Mathura Road, near it's crossing with Lodi Road. The first significant model of Mughal architecture in India, the tomb was built by Humayun's wife Haji Begum in the year 1565. High arches and a double dome adorn the tomb that is entered through two towering double-storied gateways, on the south and on the west. The center of the eastern wall of the enclosure houses a baradari (pavilion), while that of the northern wall houses a bath-chamber.One of the most remarkable features of the Delhi Humayun's Tomb is a square garden inside its complex. The garden stands divided into four large squares, separated by causeways and channels. These four squares are then further divided into smaller squares by typical pathways ('Chaharbagh') of a Mughal Garden. In the center of the entire complex stands the mausoleum. The cenotaph is kept in the central octagonal chamber with arched lobbies on the sides having perforated screens at the openings.The Garden Tomb Of Humayun in Delhi is constructed mainly of red sandstone, with white and black marble adorning its borders. The second story of the tomb, with 42.5m high double dome and pillared kiosks (chhatris), is built in the same way as the first. Further beautifying the Humayun's Tomb are the carvings, the inlaid work on the marble of the walls and the trelliswork in red sandstone. Built as per the hasht bihisht (Eight Paradise) architectural design, it is a sort of pioneering landmark of the Indo-Islamic architecture.The vaults below the podium in the mausoleum house the graves of a number of Mughal dynasty rulers. These include the graves of Haji Begam, Hamida Banu Begam, Dara Shikoh - Shah Jahan's son, and the later Mughals, Jalandar Shah, Farrukhsiyar, Rafi'u'd-Darajat, Rafi'u'd-Daula, 'Alamgir II, Shah Jahan's son and Bahadur Shah II, the last Mughal emperor of Delhi. Infact, Delhi Humayun Tomb served as the refuge of Bahadur Shah II, who was later captured here by Lieutenant Hodson during the Revolt of 1857. The sheer number of graves here led to the tomb being called as ""The Dormitory of the House of Timur"". "
9,India Gate,Delhi,Delhi,,Anytime round the year,28.6128,77.23006,"India Gate, primarily a memorial to the Unknown Soldier was Designed by Lutyens. The 42 metre high structure is a war memorial in honour of the soldiers who died during the world war. The impressive structure from where stretch massive lush green lawns has an eternal flame (Amar Jawan Jyoti) to honour the memory of the unknown soldiers. India Gate prominently located in the vicinity of Rastrapati Bhavan is a major crowd puller during the hot summer evenings of Delhi by virtue of its lush green lawns. India Gate of Delhi is a 42 meter high gateway situated at Rajpath, New Delhi. Also famous as the 'All India War Memorial', the India Gate was designed by Sir Edwin Lutyens, who designed the New Delhi city. The base stone of India Gate of Delhi was laid by the Duke of Connaught. The structure of India Gate of Delhi was completed in February 1921.India Gate in Delhi at nearby is a famous recreation for the local people of Delhi in summer evenings and accepted picnic spot in winter months. The trendy India Gate of Delhi is situated at the heart of the capital, and easily accessible by the tourists. India Gate of Delhi lies at the east end of Janpath that leads to the Rashtrapati Bhawan.India Gate of Delhi presents a variety of entertainment. The whole day can be spent by watching monkey presentation, riding a camel, viewing the soap bubbles that is blown all over the lawns of the India gate of Delhi, playing with balloons and more. In the evening, India Gate of Delhi is busy with evening walkers as well as tourists and movable vendors. You can feel the classic Indian fast foods, 'fruit chaat', 'bhelpuri', 'chana jor garam', 'dal ka pakodas', aerated drinks from the arcade of vendors stationed there."
10,Khajuraho Temples,Bundelkhand,Madhya Pradesh,,Anytime round the year,24.852971,79.919664,"Located in the forested plains of Madhya Pradesh, Khajuraho is a small village, renowned for its vast spectacle of unparalleled temple architecture. The name 'Khajuraho' is actually derived from the Hindi word 'Khajur', meaning 'date palm', which is abundant in the place. What earn Khajuraho its popularity are the exemplary adornments that are carved in the facades and interiors of the various temples of the place. These are legacies of the Chandela rulers, who ruled Central India from 10th to 12th century. Out of 85 temples that once majestically rose on the land, only 22 temples have survived the attrition of time.The edifices of Khajuraho uphold the artistic magnificence of India even today. Its 22 staggering shrines are scattered over an area of 8 sq miles (21 sq km) and are stylized according to the conventional standards of the North Indian 'Shikara' style and the 'Panchatantra' plan or layout. In fact, in architectural magnanimousness and splendor, these temple masterpieces can be equated to some of the greatest cathedrals of Medieval Europe. Besides, the inventive and bold architectural monuments of Khajuraho have also earned it the reputation of a World Heritage Site by UNESCO.The temples of Khajuraho are commemorated to a pantheon of Gods and Goddesses of different sects. They are also segregated into groups based on their specific geographical locations. Two distinctive groups are the 'Eastern Group of Temples' and the 'Western Group of Temples'. Most of them are built of pale yellow, buff or pink sandstone. Atypical of a temple town, Khajuraho is not only about worshipping Gods or dipping in sanctimonious waters. In fact, what makes the Khajuraho stand out is the eroticism and celebration of carnal love that have been meticulously etched in the walls of its temples.These medieval artworks that conjoin 'God Worship' and 'Human Life' are examples of phenomenal imagination and execution. Most of the elaborately carved figures display the different aspects of life and some of them are also steeped with various symbols of sexuality. Others pay tribute to womanhood and exhibit the myriad aspects of a woman's life, from innocent play to carnal postures. The creative outbursts of the place, accompanied by the various erotic depictions, no doubt lure tourists from all across the globe. From connoisseurs of art to a lay man, these spectacles awe-inspire everyone."
