id,name,url1,url2,url3
1,Taj Mahal,http://upload.wikimedia.org/wikipedia/commons/f/f5/Taj_Mahal_2012.jpg,http://1.bp.blogspot.com/-wNBTsXUscoM/UD5OsXQdF4I/AAAAAAAAIlk/WIXnwTd_K0s/s1600/Taj+Mahal+Wallpapers+1.jpg,http://www.bubblews.com/assets/images/news/1173929604_1365053010.jpg
2,Gateway Of India,http://4.bp.blogspot.com/-dWm6IsA69pI/UTuC7AN1VkI/AAAAAAAAATc/5DICjHNzqHQ/s1600/Gateway-of-India-Mumbai-2.jpg,http://www.mapability.com/travel/p2i/stills/18621h.jpg,http://isaaclangslow.files.wordpress.com/2013/11/mumbai5.jpg
3,Buland Darwaja,http://upload.wikimedia.org/wikipedia/commons/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg,http://hi.bharatdiscovery.org/w/images/e/e4/Buland-Darwaja-Fatehpur-Sikri-Agra.jpg,http://www.signatureholidays.co.in/images/agra/tourist_attractions/buland_darwaza.jpg
4,Char Minar,http://www.hyd.co.in/images/charminar.jpg,http://1.bp.blogspot.com/-3m2x5zIUtPo/TomoZL0evnI/AAAAAAAAAUw/WhbGSfwuac0/s1600/Char+Minar.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b8/Charminar_sumeet_photography_3.JPG
5,Gol Gumbad,http://upload.wikimedia.org/wikipedia/commons/0/0b/GolGumbaz2.jpg,http://usandeep.com/images/hampi_gol_gumbaz.jpg,http://i1.trekearth.com/photos/105956/pict1087_1.jpg
6,Statue Of Gomateswara,http://famouswonders.com/wp-content/uploads/2009/06/gomateshwara-statue.jpg,http://www.hoparoundindia.com/cityimages/karnataka/bigimages/Shravanabelagola-Gomateshwara%20Bahubali%20Bhagwan%20Statue-3.jpg,http://static.panoramio.com/photos/large/501943.jpg
7,Hampi,http://templenet.com/Karnataka/virupa.jpg,http://static.thrillophilia.com/blog/wp-content/uploads/2010/10/hampi1.jpg,http://static.thrillophilia.com/blog/wp-content/uploads/2010/10/hampi24.jpg
8,Humayun Tomb,http://upload.wikimedia.org/wikipedia/commons/7/7b/Humayun-tomb.jpg,http://images.fanpop.com/images/image_uploads/Humayun---s-Tomb-india-622329_910_1024.jpg,http://www.bridgeandtunnelclub.com/bigmap/outoftown/india/delhi/humayunstomb/01entrance.jpg
9,India Gate,http://3.bp.blogspot.com/-7YiTuTMAwwE/UGw4bDIOb4I/AAAAAAAAADI/T8R78H50rgM/s1600/India-Gate-New-Delhi.jpg,http://www.indianholiday.co.uk/blog/wp-content/uploads/2013/02/India-Gate.jpg,http://topyaps.com/wp-content/uploads/2013/07/India-Gate.jpg
10,Khajuraho Temples,http://upload.wikimedia.org/wikipedia/commons/d/d5/Khajuraho-Lakshmana_temple.JPG,http://media-cdn.tripadvisor.com/media/photo-s/01/50/ed/e7/khajuraho-temples.jpg,http://culturextourism.com/wp-content/uploads/2012/05/Khajuraho-Temples.jpg
11,Mahabalipuram Rathas,http://upload.wikimedia.org/wikipedia/commons/6/6a/Shore_Temple_01.jpg,http://www.team-bhp.com/forum/attachments/travelogues/397301d1280679720-after-10-long-years-mahabalipuram-pondicherry-img_1273.jpg,http://1.bp.blogspot.com/-LqMkZGc_-J4/ToWk-VcG61I/AAAAAAAAARs/kA3wmp68SrE/s1600/MahabalipuramPanchaRathas.jpg
12,Mattancherry Palace,http://tourmet.com/wp-content/uploads/2013/05/Mattancherry-Palace-Dutch-Palace-kochi.jpg,http://static.panoramio.com/photos/large/50249858.jpg,http://image6.buzzintown.com/files/event/upload_32000/upload_original/283160-visit-dutch-palace-mattancherry-palace.jpg
13,Mysore Palace,http://www.newsonair.nic.in/feature-image/Mysore_Palace_.jpg,http://www.inmysore.com/images/stories/mysore_attractions/mysore_palace/mysore-palace-illuminated.jpg,http://i1.trekearth.com/photos/36932/mysore_palace-_illuminated.jpg
14,Vivekananda Rock,http://www.kanyakumari.tn.nic.in/images/wpe6C.jpg,http://1.bp.blogspot.com/_XGYdGLtFGsM/StYUOwwxULI/AAAAAAAAC8Q/ReO4hb-0UV8/s1600-h/swami-vivekananda-rock-memorial-at-kanyakumari.jpg,http://www.madurawelcome.com/kanyakumari/kan-img/vivekananda_rock.jpg
15,Nalanda,http://upload.wikimedia.org/wikipedia/commons/4/4c/Nalanda_University_India_ruins.jpg,http://www.columbia.edu/itc/mealac/pritchett/00routesdata/0100_0199/nalanda/nalanda2.jpg,http://upload.wikimedia.org/wikipedia/commons/9/95/Nalanda-sariputta.jpg
16,Qutub Minar,http://upload.wikimedia.org/wikipedia/commons/d/d9/Qutab_Minar_mausoleum.jpg,http://3.bp.blogspot.com/_LWSA7F9J-TA/TPT7rSPyMdI/AAAAAAAAAzQ/OWo4Gbfjmrk/s1600/Qutub%20Minar%20Delhi.jpg,http://lh6.ggpht.com/_GeXmnVoQB9M/TTvD3qTcElI/AAAAAAAAGMs/928rkIXsyKY/s1600/Qutub_Minar_Delhi_Urdu_tarun_chandel_photoblog.jpg
17,Safdarjung Tomb,"http://upload.wikimedia.org/wikipedia/commons/7/7c/Safdarjung_Tomb,_Delhi.jpg",http://travel.india.com/wp-post-thumbnail/Xs8LB.jpg,http://ebookindia.in/book_images/cover_image/404.jpg
18,Sanchi Stupa,"http://upload.wikimedia.org/wikipedia/commons/2/20/Sanchi_Stupa_from_Eastern_gate,_Madhya_Pradesh.jpg",http://www.onlypilgrim.com/cityimages/Sanchi_Stupas.jpg,http://thinkingparticle.com/sites/default/files/imagecache/node-gallery-display/Stupa%202%20Sanchi.JPG
19,Dhamekh Stupa,http://what-buddha-said.net/gallery/var/albums/India-Pilgrimage-/sarnath-dhamek-stupa.jpg?m=1330752519,"http://upload.wikimedia.org/wikipedia/commons/d/d9/Ancient_Buddhist_monasteries_near_Dhamekh_Stupa_Monument_Site,_Sarnath.jpg","http://upload.wikimedia.org/wikipedia/commons/8/8e/Chaukhandi_Stupa_on_a_hill,_Sarnath.jpg"
20,Victoria Memorial,http://newmetroguesthouse.com/wp-content/uploads/2013/07/Victoria-Memorial.jpg,http://farm7.staticflickr.com/6023/5912622016_6446584e00_o.jpg,http://i1.trekearth.com/photos/64618/victoria_from_the_front.jpg
21,Cellular Jail,"http://upload.wikimedia.org/wikipedia/commons/f/fe/Front_View_of_Cellular_Jail,_Port_Blair.JPG",http://www.indyatour.com/india/andaman-nicobar-islands/images/cellular-jail-kalapani-andaman.jpg,http://www.indianetzone.com/photos_gallery/6/cellular-jail1_14801.jpg
22,Hawa Mahal,http://upload.wikimedia.org/wikipedia/commons/3/37/Hawa_Mahal_2011.jpg,http://www.tnstravel.com/photo-gallery/photos/hawa-mahal.jpg,"http://www.traveltorch.com/image-gallery/hawa%20mahal,%20jaipur.jpg"
23,Leh Palace,"http://upload.wikimedia.org/wikipedia/commons/5/57/Leh_Palace,_Leh,_Ladakh.jpg",http://2.bp.blogspot.com/_uEJfHvi6UWE/TQdoRZqJ3QI/AAAAAAAAABw/Q5nv-Gzwagc/s1600/leh-palace-1024.jpg,http://indiatourismportal.com/destinations-in-india/Monuments-in-Ladakh/images/leh-palace/leh-palace2.jpg
24,Agra Fort,http://asi.nic.in/images/headers/hdr_agrafort.jpg,http://societytea.com/blog/wp-content/uploads/2013/08/Agra.jpg,http://www.dialmenowblog.com/wp-content/uploads/2014/03/3-Agra-Fort.jpg
25,Ajanta Caves,http://www.wondermondo.com/Images/Asia/India/Maharashtra/AjantaChait.jpg,http://www.maharashtratourism.gov.in/mtdc/html/maharashtratourism/TouristDelight/Caves/images/Main_Ajanta_Cave.jpg,http://lh6.ggpht.com/_klk8-z_7Wlw/Sjef727rhaI/AAAAAAAAA80/F9ANcgrx8Cg/s640/AjantaCaves-10.jpg
26,Akbar Tomb,"http://upload.wikimedia.org/wikipedia/commons/f/f5/Main_Gate_to_the_Akbar's_Tomb,_Sikandra.jpg",http://tybarchhistory.weebly.com/uploads/1/3/8/3/13832295/8238013_orig.jpg,http://tybarchhistory.weebly.com/uploads/1/3/8/3/13832295/8238013_orig.jpg
27,Basilica Of Bom Jesus,http://upload.wikimedia.org/wikipedia/commons/0/0c/Goa_Velha_Basilica_Bom_Jesus.jpg,http://images.mapsofindia.com/my-india/basilica-of-bom-jesus-goa.jpg,http://www.indiatravelpictures.com/wp-content/uploads/2012/08/Basilca-of-Bom-Jesus-Goa1.jpg
28,Ellora Caves,http://upload.wikimedia.org/wikipedia/commons/8/87/Kailasha_temple_at_ellora.JPG,https://lh4.googleusercontent.com/_GeXmnVoQB9M/TU_0tL4QrvI/AAAAAAAAGQE/J1sdhtOAaXU/s1600/ellora_caves_at_aurangabad_India_tarun_chandel_photoblog.jpg,http://www.shunya.net/Pictures/South%20India/South2003/Ellora/Ellora08.jpg
29,Golconda Fort,http://planetden.com/wp-content/uploads/2014/03/634934287820859669_1190_Golconda-fort-photos-4.jpg,http://amitkulkarni.info/pics/golconda-fort-pictures/photos/Golconda-Fort-Ruins.jpg,http://4.bp.blogspot.com/-j4ghHt6R3TA/UB6hPj8RwfI/AAAAAAAANuc/U2-H1NFf_fY/s1600/DSC01664.jpg
30,Golden Temple,http://upload.wikimedia.org/wikipedia/commons/9/9c/Golden_Temple_India.jpg,http://media1.santabanta.com/full1/Sikhism/The%20Golden%20Temple/the-golden-temple-39a.jpg,http://www.molon.de/galleries/India/Punjab/Amritsar/images01/01%20Golden%20Temple.jpg
31,Gwalior Fort,http://upload.wikimedia.org/wikipedia/commons/9/97/Fort_Gwalior.jpg,http://media-cdn.tripadvisor.com/media/photo-s/01/0b/60/86/gwalior-fort.jpg,http://www.onthegotours.com/repository/Gwalior-Fort-776_0_500.jpg
