pid,name,city,state,description,website,visitor_info,latitude,longitude
1,Salarjung Museum,Hyderabad,Andhra Pradesh,"The Salarjung Museum is the third largest museum in India housing the biggest one-man collections of antiques in the world. It is well known throughout India for its prized collections belonging to different civilizations dating back to the 1st century. Nawab Mir Yusuf Ali Khan Salar Jung III (1889 - 1949), former Prime Minister of the seventh Nizam of Hyderabad, spent a substantial amount of his income over thirty five years to make this priceless collection, his life's passion. The collections left behind in his ancestral palace, 'Diwan Deodi' were formerly exhibited there as a private museum which was inaugurated by Jawaharlal Nehru in 1951. Old timers believe that the present collection constitutes only half of the original art wealth collected by Salar Jung III. His employees siphoned off part of it, since Salar Jung was a bachelor and depended upon his staff to keep a vigil. Some more art pieces were lost or stolen during the shifting of the museum from Dewan Devdi to the present site. Later in 1968, the museum shifted to its present location at Afzalgunj and is administered by a Board of Trustees with the Governor of Andhra Pradesh as ex officio chairperson under the Salar Jung Museum Act of 1961.",http://www.salarjungmuseum.in/,The museum is open from 10:00 to 17:00 (except on Fri). Camera/Mobile Camera are allowed for Rs.50/-.,17.37135,78.480365
2,Veiled Rebecca of Salar Jung Museum,Hyderabad,Andhra Pradesh,"Veiled Rebecca of Salar Jung Museum is a white marble statue, sculptured by Italian neoclassical sculptor, Giovanni Maria Benzoni 1832-1862 in the mid 25th century. It is placed at Salar Jung Museum,Hyderabad, India. Said to be A melody in marble,and considered as the most beautiful art object in the world and masterpiece of Salar Jung Museum.",http://en.wikipedia.org/wiki/Veiled_Rebecca_of_Salar_Jung_Museum,Entry from 10.00am to 5.00 pm,17.406456,78.451313
3,AP State Archaeology Museum,Hyderabad,Andhra Pradesh,"In 1930, the State Museum was installed inside a palace constructed in 1864, within the Public Gardens, Nampally. The Nizam had built the palace for one of his daughters, and it was called the ""Doll's House"". However, due to a superstition, the daughter did not occupy the palace. In 1930, Nizam VII Mir Osman Ail Khan, wanted to preserve the Hyderabad's state's heritage, had named the museum as Hyderabad Museum.",http://asi.nic.in/asi_museums_kondapur.asp,Museum Hours 1000 A.M. to 0500 p.m. Museum remain closed on Friday.,17.385044,78.486671
4,Birla Science Museum,Hyderabad,Andhra Pradesh,"B. M. Birla Science Museum is an Indian science museum located in Hyderabad, India. Constructed by civil engineer Mr. P. A. Singaravelu, it comprises a planetarium, museum, science center, art gallery as well as a dinosaurium. The museum itself was the second phase of the science center when it opened in 1990.",http://www.birlasciencecentre.org/,Mon-Fri 10:30 AM - 8:00 PM,17.403297,78.470626
5,Jawaharlal Nehru Museum,Itanagar,Arunachal Pradesh,"The Jawaharlal Nehru State Museum also referred as Jawaharlal Nehru Museum is the state museum of Arunachal Pradesh, in Itanagar. Established in the 1980s, it showcases aspects of tribal life of Arunachal Pradesh, India. These include clothing, headdress, weapons, handicraft, music instruments, jewellery and other artifacts of daily use and culture, besides archeological finds",http://arunachalpradesh.nic.in/itanagar.htm,Entry from 10.00am to 5.00 pm,28.513462,77.072482
6,Assam State Museum,Mayong,Assam,"Assam State Museum surpasses all the other museums in India, as one of the biggest multipurpose museum. The 0exhibits of the Museum are displayed under different sections, viz., Epigraphy, Sculptures-The sculptures from the Assam region fall into four principal categories - stone, wood, metal and terracotta, Miscellaneous, Natural History, Crafts, Anthropology & Folk Art & Arms section. The collections which are on display here, are very rare.",http://www.lonelyplanet.com/india/northeast-states/guwahati/sights/museums-galleries/assam-state-museum,The museum remains open 06 days from 10:00am ? 4:30pm during summers and from 10:00am ? 4:30pm during winters except on Mondays; 2nd and 4th Saturdays and Government Holidays.,26.185297,91.751789
7,Mayong Central Museum and Emporium,Mayong,Assam,Mayong Central Museum and Emporium,http://exotic-assam.blogspot.in/2008/12/mayong-is-34km-away-from-guwahati-near.html,Entry from 10.00am to 5.00 pm,26.178805,91.753458
8,Shankardev Kalakshetra,Guwahati,Assam,"Srimanta Sankaradev Kalakshetra commonly Kalakshetra is a cultural institution in the Panjabari area of Guwahati, Assam, named after the medieval poet-playwright and reformer Srimanta Sankardev. It includes a cultural museum, library and various facilities for preserving, demonstrating and performing cultural items, besides a children's park. In addition to being Northeast India's largest cultural congregation, the Kalakshetra is also a major tourist spot in Guwahati. Built in the 1990s, the artistic excellence of Assam and rest of the north-eastern region is displayed here. There are eateries, places of worship, emporiums and open air theatres within the sprawling Kalakshetra premises.",http://kalakshetra-assam.gov.in/,Entry from 10.00am to 5.00 pm,26.130757,91.822386
9,Patna Museum,Patna,Bihar,Patna Museum is the state museum of the Indian state of Bihar. Built in 1917 during the British Raj to house the historical artefacts found in the vicinity of Patna it is in the style of Mughal and Rajput architecture and is known locally as the Jadu Ghar.,http://www.biharplus.in/places-in-bihar/patna-museum-jadu-ghar/,Timings:8:30 AM to 4:30 PM (Monday Close),25.612671,85.133234
10,Bihar Museum,Patna,Bihar,"The Bihar Museum is a planned history museum for the state of?Bihar,?that began construction in?Bailey Road, Patna, Bihar, India, in October 2013 with an estimated budget of?530 crore.?The Museum will bring the region's thousands year history into focus, inspiring local residents and visitors from across the globe to explore Biharês rich heritage, historic sites and cultural attractions.?The proposed new museum will be inaugurated on March 22, 2015 on?Bihar Diwas?(Bihar foundation day).",http://www.biharplus.in/resources/new-bihar-museum-in-patna/,Timings  : 10:30 AM - 4:30 PM(Monday Closed),25.198009,85.521896
